▲ Next.js 16.2.2 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.0.101:3000
- Environments: .env.local
✓ Ready in 1396ms
- Experiments (use with caution):
  · clientTraceMetadata
  · optimizePackageImports
  · serverActions

○ Compiling /auth/login ...
 HEAD /auth/login 200 in 6.3s (next.js: 5.4s, application-code: 920ms)
 GET /auth/login 200 in 4.8s (next.js: 4.2s, application-code: 590ms)
✓ Finished filesystem cache database compaction in 12.6s
 GET /platform 200 in 1133ms (next.js: 410ms, proxy.ts: 47ms, application-code: 676ms)
 GET /admin 200 in 1098ms (next.js: 19ms, proxy.ts: 31ms, application-code: 1048ms)
 GET /admin 200 in 1159ms (next.js: 89ms, proxy.ts: 30ms, application-code: 1041ms)
 GET /platform 200 in 1165ms (next.js: 147ms, proxy.ts: 30ms, application-code: 988ms)
 GET /admin 200 in 1068ms (next.js: 22ms, proxy.ts: 27ms, application-code: 1019ms)
 GET /admin 200 in 1089ms (next.js: 91ms, proxy.ts: 28ms, application-code: 971ms)
 GET /platform 200 in 1088ms (next.js: 166ms, proxy.ts: 24ms, application-code: 898ms)
 GET /admin 200 in 902ms (next.js: 93ms, proxy.ts: 54ms, application-code: 756ms)
 GET /admin 200 in 907ms (next.js: 35ms, proxy.ts: 54ms, application-code: 818ms)
 GET /platform 200 in 942ms (next.js: 161ms, proxy.ts: 38ms, application-code: 743ms)
 GET /platform 200 in 942ms (next.js: 235ms, proxy.ts: 39ms, application-code: 668ms)
 GET /platform 200 in 1003ms (next.js: 352ms, proxy.ts: 40ms, application-code: 611ms)
 GET /platform 200 in 1022ms (next.js: 309ms, proxy.ts: 39ms, application-code: 673ms)
 GET /admin 200 in 849ms (next.js: 59ms, proxy.ts: 22ms, application-code: 768ms)
 GET /admin 200 in 915ms (next.js: 17ms, proxy.ts: 22ms, application-code: 876ms)
 GET /platform 200 in 928ms (next.js: 112ms, proxy.ts: 21ms, application-code: 796ms)
 GET /admin 200 in 927ms (next.js: 19ms, proxy.ts: 21ms, application-code: 886ms)
 GET /admin 200 in 925ms (next.js: 71ms, proxy.ts: 19ms, application-code: 834ms)
 GET /platform 200 in 927ms (next.js: 137ms, proxy.ts: 19ms, application-code: 771ms)
 GET /admin 200 in 768ms (next.js: 29ms, proxy.ts: 52ms, application-code: 687ms)
 GET /admin 200 in 822ms (next.js: 77ms, proxy.ts: 52ms, application-code: 693ms)
 GET /platform 200 in 801ms (next.js: 115ms, proxy.ts: 43ms, application-code: 644ms)
 GET /platform 200 in 805ms (next.js: 166ms, proxy.ts: 43ms, application-code: 597ms)
 GET /platform 200 in 834ms (next.js: 212ms, proxy.ts: 28ms, application-code: 594ms)
 GET /platform 200 in 835ms (next.js: 254ms, proxy.ts: 28ms, application-code: 552ms)
 GET /admin 200 in 853ms (next.js: 32ms, proxy.ts: 21ms, application-code: 799ms)
 GET /admin 200 in 923ms (next.js: 75ms, proxy.ts: 23ms, application-code: 826ms)
 GET /platform 200 in 925ms (next.js: 75ms, proxy.ts: 75ms, application-code: 775ms)
 GET /admin 200 in 944ms (next.js: 34ms, proxy.ts: 21ms, application-code: 888ms)
 GET /admin 200 in 944ms (next.js: 85ms, proxy.ts: 22ms, application-code: 837ms)
 GET /platform 200 in 943ms (next.js: 126ms, proxy.ts: 35ms, application-code: 782ms)
 GET /admin 200 in 824ms (next.js: 29ms, proxy.ts: 91ms, application-code: 703ms)
 GET /platform 200 in 813ms (next.js: 161ms, proxy.ts: 39ms, application-code: 613ms)
 GET /admin 200 in 818ms (next.js: 67ms, proxy.ts: 39ms, application-code: 712ms)
